Date,Quantity
2022/8/25,3
2022/8/25,2
2022/8/25,3
2022/8/25,2
2022/8/30,1
2022/8/30,3
2022/8/30,1
2022/8/30,3
2022/9/3,1
2022/9/13,1
2022/9/16,1
2022/9/16,1
2022/9/16,1
2022/9/17,1
2022/9/17,1
2022/9/23,1
2022/9/24,1
2022/9/28,3
2022/9/29,1
2022/10/1,3
2022/10/1,2
2022/10/1,1
2022/10/1,1
2022/10/7,1
2022/10/7,1
2022/10/7,1
2022/10/8,1
2022/10/8,1
2022/10/15,1
2022/10/18,1
2022/10/20,1
2022/10/20,1
2022/10/28,1
2022/11/4,2
2022/11/5,1
2022/11/5,1
2022/11/5,1
2022/11/9,2
2022/11/9,1
2022/11/9,1
2022/11/12,1
2022/11/12,1
2022/11/13,2
2022/11/14,1
2022/11/14,1
2022/11/14,1
2022/11/15,4
2022/11/18,1
2022/11/19,1
2022/11/19,1
2022/11/19,1
2022/11/21,1
2022/11/21,1
2022/11/21,1
2022/11/22,1
2022/11/23,1
2022/11/24,2
2022/11/24,2
2022/11/24,1
2022/11/24,1
2022/11/25,2
2022/11/25,2
2022/11/26,1
2022/11/26,1
2022/11/30,1
2022/11/30,1
2022/12/1,1
2022/12/2,1
2022/12/3,1
2022/12/3,1
2022/12/3,1
2022/12/3,1
2022/12/5,1
2022/12/6,1
2022/12/6,1
2022/12/6,1
2022/12/7,1
2022/12/7,2
2022/12/9,1
2022/12/10,1
2022/12/15,1
2022/12/15,2
2022/12/16,2
2022/12/16,2
2022/12/16,1
2022/12/17,1
2022/12/17,1
2022/12/17,1
2022/12/17,2
2022/12/19,5
2022/12/20,1
2022/12/20,1
2022/12/20,1
2022/12/20,1
2022/12/20,1
2022/12/23,5
2022/12/24,2
2022/12/26,1
2022/12/26,1
2022/12/28,2
2022/12/29,1
2022/12/30,1
2022/12/30,1
2022/12/30,3
2022/12/30,1
2023/1/3,2
2023/1/4,1
2023/1/4,1
2023/1/4,1
2023/1/9,1
2023/1/9,1
2023/1/12,1
2023/1/13,2
2023/1/13,2
2023/1/13,6
2023/1/13,1
2023/1/13,1
2023/1/14,1
2023/1/16,1
2023/1/16,1
2023/1/16,1
2023/1/17,1
2023/1/30,2
2023/1/30,4
2023/1/30,1
2023/2/3,1
2023/2/3,1
2023/2/4,1
2023/2/4,3
2023/2/6,1
2023/2/6,1
2023/2/7,1
2023/2/9,1
2023/2/11,1
2023/2/11,1
2023/2/13,2
2023/2/13,1
2023/2/14,1
2023/2/15,5
2023/2/20,4
2023/2/20,1
2023/2/23,1
2023/2/23,3
2023/2/24,4
2023/2/24,1
2023/2/24,1
2023/2/24,1
2023/2/25,3
2023/2/25,1
2023/2/25,1
2023/2/25,1
2023/3/6,1
2023/3/6,1
2023/3/6,1
2023/3/6,1
2023/3/9,4
2023/3/9,4
2023/3/9,2
2023/3/9,1
2023/3/10,2
2023/3/13,1
2023/3/13,1
2023/3/13,2
2023/3/14,1
2023/3/14,1
2023/3/17,1
2023/3/18,1
2023/3/18,1
2023/3/25,1
2023/4/1,1
2023/4/1,1
2023/4/6,2
2023/4/6,2
2023/4/6,1
2023/4/7,1
2023/4/10,3
2023/4/10,3
2023/4/10,1
2023/4/10,1
2023/4/14,1
2023/4/14,1
2023/4/14,1
2023/4/17,1
2023/5/2,1
2023/5/2,1
2023/5/5,1
2023/5/6,1
2023/5/6,3
2023/5/6,1
2023/5/8,1
2023/5/11,1
2023/5/11,1
2023/5/16,1
2023/5/20,1
2023/5/22,1
2023/5/22,1
2023/5/27,1
2023/5/30,1
2023/6/1,1
2023/6/6,4
2023/6/9,1
2023/6/10,3
2023/6/13,1
2023/6/15,1
2023/6/15,3
2023/6/16,1
